Designator,Footprint,Quantity,Value,LCSC Part #
C2,C_Disc_D3.4mm_W2.1mm_P2.50mm,1,10nf,
C3,CP_Radial_D5.0mm_P2.50mm,1,10uf,
J1,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,5v In.,
J2,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,Screw_Terminal_01x03,
J3,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Display Pwr,
J4,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Display,
J5,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,TX1-RX1,
J6,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,i2c,
J7,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,One_Wire,
"R2, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,10k,
"R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,4k7,
U1,MODULE_ESP32-C3_SUPERMINI,1,ESP32-C3_SUPERMINI_TH,
U3,SN65HVD230-Module,1,SN65HVD230,
